right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
176,41,209,71,209,71,224,100,69,42,26,75,26,75,26,108,152,116,167,171,167,171,183,224,80,117,69,172,69,172,65,225
215,40,224,75,224,75,200,104,124,39,60,61,60,61,21,88,205,113,213,170,213,170,227,223,143,112,128,171,128,171,111,225
215,42,203,76,203,76,163,99,149,38,86,51,86,51,33,68,217,115,224,172,224,172,232,224,170,113,153,173,153,173,129,228
214,41,187,70,187,70,124,83,154,35,88,40,88,40,28,45,219,117,225,173,225,173,228,225,175,115,161,173,161,173,130,229
211,41,178,67,178,67,115,67,156,36,92,39,92,39,32,34,220,116,226,173,226,173,226,223,178,113,162,173,162,173,137,227
214,42,183,66,183,66,124,66,149,36,80,37,80,37,23,31,221,116,225,174,225,174,226,228,174,114,158,174,158,174,133,232
217,41,198,69,198,69,136,73,151,38,90,46,90,46,31,44,220,117,228,173,228,173,231,224,172,116,155,174,155,174,132,229
218,45,210,81,210,81,149,88,146,40,89,57,89,57,34,66,212,117,220,173,220,173,229,225,161,115,147,172,147,172,132,227
212,43,231,79,231,79,194,104,130,42,78,64,78,64,31,84,193,117,204,172,204,172,217,223,139,116,130,173,130,173,119,226
175,42,215,69,215,69,234,100,85,45,50,74,50,74,22,103,152,117,164,172,164,172,179,224,93,118,81,172,81,172,77,224
128,40,183,61,183,61,226,82,45,47,25,84,25,84,11,123,97,117,111,174,111,174,128,226,42,119,35,175,35,175,36,225
118,41,165,60,165,60,196,81,49,46,32,80,32,80,11,124,84,118,101,176,101,176,122,228,37,119,36,175,36,175,39,227
116,40,172,55,172,55,218,72,47,47,32,78,32,78,18,102,84,117,96,173,96,173,113,227,38,119,34,174,34,174,39,226
103,42,126,71,126,71,137,91,62,41,106,69,106,69,159,90,77,117,94,174,94,174,118,227,42,116,37,172,37,172,37,225
114,39,159,63,159,63,206,82,39,47,26,77,26,77,36,62,86,116,104,172,104,172,115,226,36,119,29,174,29,174,31,223
125,41,158,73,158,73,201,100,66,42,50,77,50,77,52,120,102,116,118,173,118,173,139,224,60,117,48,172,48,172,36,225
194,42,218,76,218,76,228,104,96,39,40,63,40,63,17,92,170,118,182,173,182,173,201,225,106,117,94,172,94,172,83,226
214,42,215,79,215,79,177,105,138,37,72,54,72,54,26,73,200,117,208,171,208,171,229,223,147,115,130,170,130,170,116,224
216,42,200,73,200,73,133,87,144,37,87,47,87,47,34,59,216,117,223,174,223,174,232,226,165,114,148,172,148,172,130,227
216,41,184,67,184,67,120,72,154,34,93,39,93,39,31,40,218,117,224,174,224,174,229,227,172,115,156,173,156,173,133,229
213,41,181,67,181,67,111,65,156,36,94,41,94,41,32,35,220,117,227,175,227,175,227,224,177,115,160,174,160,174,136,228
216,42,189,68,189,68,134,63,154,35,88,41,88,41,28,35,222,117,226,174,226,174,227,227,176,114,159,173,159,173,135,230
219,41,206,70,206,70,150,74,153,39,90,50,90,50,31,53,221,117,227,172,227,172,232,225,174,116,157,173,157,173,134,230
218,42,230,76,230,76,189,100,139,43,85,64,85,64,34,83,210,116,217,173,217,173,226,225,157,115,142,173,142,173,127,227
192,43,227,75,227,75,225,105,89,44,53,75,53,75,27,105,173,119,184,174,184,174,195,226,105,119,89,173,89,173,81,225
140,40,191,65,191,65,228,92,50,43,30,75,30,75,40,106,113,116,127,173,127,173,142,224,52,117,39,173,39,173,32,224
114,38,169,53,169,53,221,71,44,44,51,76,51,76,80,104,91,112,102,170,102,170,114,225,42,114,34,170,34,170,32,224
109,37,171,45,171,45,221,54,45,44,60,73,60,73,106,93,83,110,92,170,92,170,107,226,38,113,29,173,29,173,26,226
103,38,165,40,165,40,218,44,43,46,75,71,75,71,128,81,78,116,95,175,95,175,110,226,35,119,33,176,33,176,30,225
105,36,166,45,166,45,221,51,44,44,66,74,66,74,116,83,80,110,89,171,89,171,104,228,37,113,30,173,30,173,30,225
106,38,163,54,163,54,218,66,40,43,54,74,54,74,105,87,82,113,95,172,95,172,109,227,35,115,29,173,29,173,25,223
119,41,166,63,166,63,216,84,46,45,43,78,43,78,84,101,99,115,110,173,110,173,123,226,47,117,34,174,34,174,28,224
